         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.3269007713502E+03   0.0000000000000E+00   0.4512079000484E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+04   0.9976493366987E+00   0.0000000000000E+00   0.6852591469352E-01   0.0000000000000E+00
   0.1000000000000E-01   0.3269007713502E+03   0.2235420196109E-20   0.4512079000484E+02  -0.2203209374206E-21  -0.1654600779375E-15  -0.2099595173905E-20   0.3300000000000E+01  -0.4732151064264E-25  -0.1000000000000E+04   0.9976493366987E+00  -0.6047656097181E-24   0.6852591469352E-01  -0.3467218565018E-23
   0.2000000000000E-01   0.3269007713502E+03   0.1784121891145E-19   0.4512079000484E+02  -0.8934960410079E-21  -0.3303895515497E-15  -0.8378281568868E-20   0.6600000000000E+01  -0.8338403783244E-24  -0.1000000000000E+04   0.9976493366987E+00  -0.4866156881329E-23   0.6852591469352E-01  -0.2769106671997E-22
   0.3000000000000E-01   0.3269007713502E+03   0.6005294611613E-19   0.4512079000484E+02  -0.2040109933567E-20  -0.4939925144097E-15  -0.1879588312678E-19   0.9900000000000E+01  -0.4444181137442E-23  -0.1000000000000E+04   0.9976493366987E+00  -0.1651969183909E-22   0.6852591469352E-01  -0.9327079454454E-22
   0.4000000000000E-01   0.3269007713502E+03   0.1419112496683E-18   0.4512079000484E+02  -0.3684363120528E-20  -0.6569764386730E-15  -0.3330640466922E-19   0.1320000000000E+02  -0.1470102312539E-22  -0.1000000000000E+04   0.9976493366987E+00  -0.3939402913255E-22   0.6852591469352E-01  -0.2205608049416E-21
   0.5000000000000E-01   0.3269007713502E+03   0.2762919093209E-18   0.4512079000484E+02  -0.5855817962271E-20  -0.8193413242228E-15  -0.5187598154903E-19   0.1650000000000E+02  -0.3745955060736E-22  -0.1000000000000E+04   0.9976493366987E+00  -0.7744021743747E-22   0.6852591469352E-01  -0.4297182295105E-21
   0.6000000000000E-01   0.3269007713502E+03   0.4759071543257E-18   0.4512079000484E+02  -0.8587401773335E-20  -0.9811756049775E-15  -0.7446492486483E-19   0.1980000000000E+02  -0.8090089299162E-22  -0.1000000000000E+04   0.9976493366987E+00  -0.1347526237129E-21   0.6852591469352E-01  -0.7407060288760E-21
   0.7000000000000E-01   0.3269007713502E+03   0.7533070851403E-18   0.4512079000484E+02  -0.1191666445453E-19  -0.1142390846788E-14  -0.1010412107147E-18   0.2310000000000E+02  -0.1558231089716E-21  -0.1000000000000E+04   0.9976493366987E+00  -0.2155891607390E-21   0.6852591469352E-01  -0.1173296221206E-20
   0.8000000000000E-01   0.3269007713502E+03   0.1120863273824E-17   0.4512079000484E+02  -0.1588283496805E-19  -0.1302544879370E-14  -0.1315535627359E-18   0.2640000000000E+02  -0.2759298315398E-21  -0.1000000000000E+04   0.9976493366987E+00  -0.3243860086025E-21   0.6852591469352E-01  -0.1747045441727E-20
   0.9000000000000E-01   0.3269007713502E+03   0.1590738318117E-17   0.4512079000484E+02  -0.2052942780373E-19  -0.1462168306816E-14  -0.1659584585015E-18   0.2970000000000E+02  -0.4581137409920E-21  -0.1000000000000E+04   0.9976493366987E+00  -0.4657676065154E-21   0.6852591469352E-01  -0.2481248576489E-20
