         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.3264232510777E+03   0.0000000000000E+00   0.4845473305929E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+04   0.9972866606203E+00   0.0000000000000E+00   0.7361600742297E-01   0.0000000000000E+00
   0.1000000000000E-01   0.3264236830665E+03   0.5025399645175E-08   0.4845187544729E+02  -0.4970169653320E-09  -0.3721395288402E-03  -0.4727974962318E-08   0.3300000031882E+01  -0.1071060424265E-12  -0.1000000011484E+04   0.9972867292347E+00  -0.1404124878629E-11   0.7361507788673E-01  -0.7807928850977E-11
   0.2000000000000E-01   0.3264242831457E+03   0.4001705526829E-07   0.4844794444060E+02  -0.2013605677875E-08  -0.7401504407371E-03  -0.1881515405384E-07   0.6600000183398E+01  -0.1880854739657E-11  -0.1000000045049E+04   0.9972869340611E+00  -0.1127893217885E-10   0.7361230298712E-01  -0.6221748641129E-10
   0.3000000000000E-01   0.3264250495673E+03   0.1344245348556E-06   0.4844295992637E+02  -0.4594813610111E-08  -0.1104015291982E-02  -0.4211350656351E-07   0.9900000547640E+01  -0.1000847629344E-10  -0.1000000099314E+04   0.9972872735611E+00  -0.3823468090926E-10   0.7360770335413E-01  -0.2091469809622E-09
   0.4000000000000E-01   0.3264259805702E+03   0.3171197131154E-06   0.4843694169744E+02  -0.8294324289978E-08  -0.1463717955148E-02  -0.7447122004382E-07   0.1320000122994E+02  -0.3306685869699E-10  -0.1000000172838E+04   0.9972877461808E+00  -0.9107243895503E-10   0.7360129970073E-01  -0.4937489790303E-09
   0.5000000000000E-01   0.3264270743809E+03   0.6163819017993E-06   0.4842990944914E+02  -0.1317403872825E-07  -0.1819243599884E-02  -0.1157328227740E-06   0.1650000234767E+02  -0.8416523562052E-10  -0.1000000264119E+04   0.9972883503511E+00  -0.1788245730475E-09   0.7359311281636E-01  -0.9603886873669E-09
   0.6000000000000E-01   0.3264283292148E+03   0.1059883591052E-05   0.4842188277627E+02  -0.1930366140319E-07  -0.2170578673713E-02  -0.1657393075359E-06   0.1980000403011E+02  -0.1815757805736E-09  -0.1000000371596E+04   0.9972890844888E+00  -0.3107932157060E-09   0.7358316356058E-01  -0.1652623105067E-08
   0.7000000000000E-01   0.3264297432772E+03   0.1674676804315E-05   0.4841288117010E+02  -0.2676029093860E-07  -0.2517710882858E-02  -0.2243282566020E-06   0.2310000641820E+02  -0.3493520449145E-09  -0.1000000493649E+04   0.9972899469972E+00  -0.4965867329032E-09   0.7357147285674E-01  -0.2613180950953E-08
   0.8000000000000E-01   0.3264313147639E+03   0.2487180068775E-05   0.4840292401541E+02  -0.3562801560796E-07  -0.2860629173087E-02  -0.2913339678362E-06   0.2640000966445E+02  -0.6179351780412E-09  -0.1000000628604E+04   0.9972909362674E+00  -0.7461542168181E-09   0.7355806168579E-01  -0.3883943370740E-08
   0.9000000000000E-01   0.3264330418627E+03   0.3523166002821E-05   0.4839203058772E+02  -0.4599751379353E-07  -0.3199323710585E-02  -0.3665875818072E-06   0.2970001393266E+02  -0.1024747869013E-08  -0.1000000774730E+04   0.9972920506784E+00  -0.1069818028634E-08   0.7354295108017E-01  -0.5505925427888E-08
