         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.3264232510777E+03   0.0000000000000E+00   0.4845473305929E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+04   0.9972866606203E+00   0.0000000000000E+00   0.7361600742297E-01   0.0000000000000E+00
   0.1000000000000E-01   0.3264232510777E+03   0.4599512991211E-20   0.4845473305929E+02  -0.4550217888646E-21  -0.3406762203525E-15  -0.4328535437660E-20   0.3300000000000E+01  -0.9793483844601E-25  -0.1000000000000E+04   0.9972866606203E+00  -0.1285123175350E-23   0.7361600742297E-01  -0.7146239519403E-23
   0.2000000000000E-01   0.3264232510777E+03   0.3662192813536E-19   0.4845473305929E+02  -0.1842046990760E-20  -0.6765725445085E-15  -0.1721225165503E-19   0.6600000000000E+01  -0.1721363601175E-23  -0.1000000000000E+04   0.9972866606203E+00  -0.1032202709204E-22   0.7361600742297E-01  -0.5693904982621E-22
   0.3000000000000E-01   0.3264232510777E+03   0.1229547700234E-18   0.4845473305929E+02  -0.4200651978541E-20  -0.1008340776218E-14  -0.3850155383891E-19   0.9900000000000E+01  -0.9156635726887E-23  -0.1000000000000E+04   0.9972866606203E+00  -0.3497253631638E-22   0.7361600742297E-01  -0.1913028325435E-21
   0.4000000000000E-01   0.3264232510777E+03   0.2899212216490E-18   0.4845473305929E+02  -0.7578240076879E-20  -0.1335872281244E-14  -0.6804382441488E-19   0.1320000000000E+02  -0.3024057356894E-22  -0.1000000000000E+04   0.9972866606203E+00  -0.8326231251611E-22   0.7361600742297E-01  -0.4514061061135E-21
   0.5000000000000E-01   0.3264232510777E+03   0.5632590575809E-18   0.4845473305929E+02  -0.1202907547865E-19  -0.1658297987360E-14  -0.1056780002992E-18   0.1650000000000E+02  -0.7694320165881E-22  -0.1000000000000E+04   0.9972866606203E+00  -0.1634153906038E-21   0.7361600742297E-01  -0.8776301770114E-21
   0.6000000000000E-01   0.3264232510777E+03   0.9680607555501E-18   0.4845473305929E+02  -0.1761325317020E-19  -0.1976161064332E-14  -0.1512292061259E-18   0.1980000000000E+02  -0.1659353641712E-21  -0.1000000000000E+04   0.9972866606203E+00  -0.2838756051138E-21   0.7361600742297E-01  -0.1509477210419E-20
   0.7000000000000E-01   0.3264232510777E+03   0.1528788893052E-17   0.4845473305929E+02  -0.2439919939773E-19  -0.2289678779932E-14  -0.2045364047084E-18   0.2310000000000E+02  -0.3191428705170E-21  -0.1000000000000E+04   0.9972866606203E+00  -0.4533467622260E-21   0.7361600742297E-01  -0.2385595003947E-20
   0.8000000000000E-01   0.3264232510777E+03   0.2269296247573E-17   0.4845473305929E+02  -0.3246276701467E-19  -0.2599611571933E-14  -0.2654469317604E-18   0.2640000000000E+02  -0.5642905937914E-21  -0.1000000000000E+04   0.9972866606203E+00  -0.6808323310521E-21   0.7361600742297E-01  -0.3543809013056E-20
   0.9000000000000E-01   0.3264232510777E+03   0.3212850437037E-17   0.4845473305929E+02  -0.4188521535385E-19  -0.2905199002127E-14  -0.3337999841739E-18   0.2970000000000E+02  -0.9354387889301E-21  -0.1000000000000E+04   0.9972866606203E+00  -0.9756748478614E-21   0.7361600742297E-01  -0.5021161470920E-20
