         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.7071067811865E+02   0.0000000000000E+00  -0.7071067811865E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.1000000000000E-01   0.7035661851808E+02   0.0000000000000E+00  -0.7003568838735E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.7053440927756E+00   0.0000000000000E+00  -0.1703738078730E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.2000000000000E-01   0.6999320805331E+02   0.0000000000000E+00  -0.6935303120964E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1407101205367E+01   0.0000000000000E+00  -0.2400688213102E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.3000000000000E-01   0.6960988213517E+02   0.0000000000000E+00  -0.6865238064418E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2105175552724E+01   0.0000000000000E+00  -0.3090771944274E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.4000000000000E-01   0.6917433000969E+02   0.0000000000000E+00  -0.6790208546411E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2799091242979E+01   0.0000000000000E+00  -0.3773537307707E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.5000000000000E-01   0.6874515512677E+02   0.0000000000000E+00  -0.6716006125005E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.3488683409771E+01   0.0000000000000E+00  -0.4448841222658E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.6000000000000E-01   0.6832222542923E+02   0.0000000000000E+00  -0.6642613225212E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.4174015162199E+01   0.0000000000000E+00  -0.5116765516004E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.7000000000000E-01   0.6790541244524E+02   0.0000000000000E+00  -0.6570012748059E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.4855148306821E+01   0.0000000000000E+00  -0.5777390281058E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.8000000000000E-01   0.6749459116628E+02   0.0000000000000E+00  -0.6498188054466E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.5532143382895E+01   0.0000000000000E+00  -0.6430793924363E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.9000000000000E-01   0.6708963993004E+02   0.0000000000000E+00  -0.6427122949774E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.6205059696416E+01   0.0000000000000E+00  -0.7077053210901E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
