         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.2100000000000E+03   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.5000000000000E+01   0.9990482215819E+00   0.0000000000000E+00   0.4361938736534E-01   0.0000000000000E+00
   0.1000000000000E-01   0.2097035631570E+03   0.0000000000000E+00   0.3197387165231E+00   0.0000000000000E+00  -0.5348137476864E-03   0.0000000000000E+00   0.2090671363086E+01   0.0000000000000E+00  -0.5181302690640E+01   0.9990482605452E+00   0.0000000000000E+00   0.4361849494800E-01   0.0000000000000E+00
   0.2000000000000E-01   0.2094076090859E+03   0.0000000000000E+00   0.6364499640672E+00   0.0000000000000E+00  -0.2122234533145E-02   0.0000000000000E+00   0.4178670879217E+01   0.0000000000000E+00  -0.5359162292218E+01   0.9990485314057E+00   0.0000000000000E+00   0.4361229065524E-01   0.0000000000000E+00
   0.3000000000000E-01   0.2091118820477E+03   0.0000000000000E+00   0.9479793551771E+00   0.0000000000000E+00  -0.4731629794448E-02   0.0000000000000E+00   0.6264001197771E+01   0.0000000000000E+00  -0.5533587053121E+01   0.9990492603054E+00   0.0000000000000E+00   0.4359559018025E-01   0.0000000000000E+00
   0.4000000000000E-01   0.2088161565170E+03   0.0000000000000E+00   0.1252256990647E+01   0.0000000000000E+00  -0.8325881982203E-02   0.0000000000000E+00   0.8346662312056E+01   0.0000000000000E+00  -0.5704584917686E+01   0.9990506654056E+00   0.0000000000000E+00   0.4356337857166E-01   0.0000000000000E+00
   0.5000000000000E-01   0.2085202425292E+03   0.0000000000000E+00   0.1547310122582E+01   0.0000000000000E+00  -0.1286180763871E-01   0.0000000000000E+00   0.1042665177327E+02   0.0000000000000E+00  -0.5872163530769E+01   0.9990529548858E+00   0.0000000000000E+00   0.4351084156798E-01   0.0000000000000E+00
   0.6000000000000E-01   0.2082239899006E+03   0.0000000000000E+00   0.1831274855763E+01   0.0000000000000E+00  -0.1829060942311E-01   0.0000000000000E+00   0.1250396496594E+02   0.0000000000000E+00  -0.6036330247272E+01   0.9990563248490E+00   0.0000000000000E+00   0.4343339474666E-01   0.0000000000000E+00
   0.7000000000000E-01   0.2079272912457E+03   0.0000000000000E+00   0.2102406806363E+01   0.0000000000000E+00  -0.2455835727715E-01   0.0000000000000E+00   0.1457859543546E+02   0.0000000000000E+00  -0.6197092145563E+01   0.9990609571851E+00   0.0000000000000E+00   0.4332671033483E-01   0.0000000000000E+00
   0.8000000000000E-01   0.2076300837541E+03   0.0000000000000E+00   0.2359090644563E+01   0.0000000000000E+00  -0.3160649466106E-01   0.0000000000000E+00   0.1665053525745E+02   0.0000000000000E+00  -0.6354456043730E+01   0.9990670174490E+00   0.0000000000000E+00   0.4318674154890E-01   0.0000000000000E+00
   0.9000000000000E-01   0.2073323497244E+03   0.0000000000000E+00   0.2599848457415E+01   0.0000000000000E+00  -0.3937236555650E-01   0.0000000000000E+00   0.1871977543761E+02   0.0000000000000E+00  -0.6508428517587E+01   0.9990746528117E+00   0.0000000000000E+00   0.4300974435082E-01   0.0000000000000E+00
