time[s]	u[ft/s]	v[ft/s]	w[ft/s]	p[rad/s]	q[rad/s]	r[rad/s]	xf[ft]	yf[ft]	zf[ft]	e0	ex	ey	ez
0.0000000000E+00	5.0000000000E+01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	-2.0000000000E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.0000000000E-02	4.9100608354E+01	0.0000000000E+00	3.1884034445E-01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	4.9547632679E-01	0.0000000000E+00	-1.9999840102E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
2.0000000000E-02	4.8232419639E+01	0.0000000000E+00	6.3209222101E-01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	9.8211615612E-01	0.0000000000E+00	-1.9999364182E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
3.0000000000E-02	4.7393806771E+01	0.0000000000E+00	9.4003907709E-01	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.4602232868E+00	0.0000000000E+00	-1.9998577685E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
4.0000000000E-02	4.6583251941E+01	0.0000000000E+00	1.2429447344E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	1.9300858009E+00	0.0000000000E+00	-1.9997485784E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
5.0000000000E-02	4.5799337577E+01	0.0000000000E+00	1.5410549890E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.3919771112E+00	0.0000000000E+00	-1.9996093394E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
6.0000000000E-02	4.5040738189E+01	0.0000000000E+00	1.8345990554E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.8461569210E+00	0.0000000000E+00	-1.9994405196E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
7.0000000000E-02	4.4306212991E+01	0.0000000000E+00	2.1237908708E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	3.2928721087E+00	0.0000000000E+00	-1.9992425647E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
8.0000000000E-02	4.3594599234E+01	0.0000000000E+00	2.4088302767E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	3.7323575399E+00	0.0000000000E+00	-1.9990158998E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
9.0000000000E-02	4.2904806150E+01	0.0000000000E+00	2.6899040897E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	4.1648368175E+00	0.0000000000E+00	-1.9987609308E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.0000000000E-01	4.2235809460E+01	0.0000000000E+00	2.9671870745E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	4.5905229736E+00	0.0000000000E+00	-1.9984780453E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.1000000000E-01	4.1586646371E+01	0.0000000000E+00	3.2408428287E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	5.0096191088E+00	0.0000000000E+00	-1.9981676143E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.2000000000E-01	4.0956411027E+01	0.0000000000E+00	3.5110245889E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	5.4223189844E+00	0.0000000000E+00	-1.9978299925E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.3000000000E-01	4.0344250353E+01	0.0000000000E+00	3.7778759662E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	5.8288075698E+00	0.0000000000E+00	-1.9974655203E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.4000000000E-01	3.9749360263E+01	0.0000000000E+00	4.0415316186E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	6.2292615522E+00	0.0000000000E+00	-1.9970745239E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.5000000000E-01	3.9170982192E+01	0.0000000000E+00	4.3021178655E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	6.6238498079E+00	0.0000000000E+00	-1.9966573163E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.6000000000E-01	3.8608399913E+01	0.0000000000E+00	4.5597532515E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	7.0127338419E+00	0.0000000000E+00	-1.9962141986E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.7000000000E-01	3.8060936632E+01	0.0000000000E+00	4.8145490635E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	7.3960681965E+00	0.0000000000E+00	-1.9957454603E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.8000000000E-01	3.7527952307E+01	0.0000000000E+00	5.0666098054E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	7.7740008318E+00	0.0000000000E+00	-1.9952513800E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
1.9000000000E-01	3.7008841191E+01	0.0000000000E+00	5.3160336354E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	8.1466734812E+00	0.0000000000E+00	-1.9947322262E+02	1.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00
