         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.3236255748976E+03   0.1309228502524E+00   0.6454820006317E+02  -0.1337696654915E-01   0.6693239324918E-01   0.6693239324918E-01   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+04   0.9216042953490E+00   0.3817409982748E+00   0.6479902304525E-01  -0.2684063417387E-01
   0.1000000000000E-01   0.3236255748976E+03   0.1309228502517E+00   0.6454820006317E+02  -0.1337696654914E-01   0.6693239324918E-01   0.6693239324918E-01   0.3268629793171E+01  -0.4539366099389E+00  -0.1000000000000E+04   0.9216170195224E+00   0.3817099816264E+00   0.6498148257979E-01  -0.2640011695401E-01
   0.2000000000000E-01   0.3236255748976E+03   0.1309228502510E+00   0.6454820006317E+02  -0.1337696654913E-01   0.6693239324918E-01   0.6693239324918E-01   0.6537692043609E+01  -0.9047482928117E+00  -0.1000000000000E+04   0.9216295331332E+00   0.3816788777683E+00   0.6516392726795E-01  -0.2595959370250E-01
   0.3000000000000E-01   0.3236255748976E+03   0.1309228502503E+00   0.6454820006317E+02  -0.1337696654912E-01   0.6693239324919E-01   0.6693239324918E-01   0.9807183763771E+01  -0.1352434636629E+01  -0.1000000000000E+04   0.9216418361785E+00   0.3816476867078E+00   0.6534635706806E-01  -0.2551906451997E-01
   0.4000000000000E-01   0.3236255748976E+03   0.1309228502496E+00   0.6454820006316E+02  -0.1337696654911E-01   0.6693239324919E-01   0.6693239324918E-01   0.1307710196572E+02  -0.1796995232258E+01  -0.1000000000000E+04   0.9216539286556E+00   0.3816164084519E+00   0.6552877193843E-01  -0.2507852950709E-01
   0.5000000000000E-01   0.3236255748976E+03   0.1309228502490E+00   0.6454820006316E+02  -0.1337696654910E-01   0.6693239324919E-01   0.6693239324918E-01   0.1634744366115E+02  -0.2238429673422E+01  -0.1000000000000E+04   0.9216658105616E+00   0.3815850430078E+00   0.6571117183739E-01  -0.2463798876449E-01
   0.6000000000000E-01   0.3236255748976E+03   0.1309228502483E+00   0.6454820006316E+02  -0.1337696654909E-01   0.6693239324919E-01   0.6693239324918E-01   0.1961820586132E+02  -0.2676737556702E+01  -0.1000000000000E+04   0.9216774818938E+00   0.3815535903826E+00   0.6589355672326E-01  -0.2419744239283E-01
   0.7000000000000E-01   0.3236255748976E+03   0.1309228502477E+00   0.6454820006316E+02  -0.1337696654908E-01   0.6693239324919E-01   0.6693239324918E-01   0.2288938557716E+02  -0.3111918481534E+01  -0.1000000000000E+04   0.9216889426497E+00   0.3815220505835E+00   0.6607592655437E-01  -0.2375689049275E-01
   0.8000000000000E-01   0.3236255748976E+03   0.1309228502470E+00   0.6454820006316E+02  -0.1337696654907E-01   0.6693239324920E-01   0.6693239324917E-01   0.2616097981918E+02  -0.3543972050216E+01  -0.1000000000000E+04   0.9217001928264E+00   0.3814904236178E+00   0.6625828128906E-01  -0.2331633316493E-01
   0.9000000000000E-01   0.3236255748976E+03   0.1309228502464E+00   0.6454820006316E+02  -0.1337696654906E-01   0.6693239324920E-01   0.6693239324917E-01   0.2943298559754E+02  -0.3972897867899E+01  -0.1000000000000E+04   0.9217112324216E+00   0.3814587094927E+00   0.6644062088567E-01  -0.2287577051000E-01
   0.1000000000000E+00   0.3236255748976E+03   0.1309228502458E+00   0.6454820006316E+02  -0.1337696654905E-01   0.6693239324920E-01   0.6693239324917E-01   0.3270539992199E+02  -0.4398695542596E+01  -0.1000000000000E+04   0.9217220614326E+00   0.3814269082153E+00   0.6662294530253E-01  -0.2243520262862E-01
   0.1100000000000E+00   0.3236255748976E+03   0.1309228502452E+00   0.6454820006316E+02  -0.1337696654904E-01   0.6693239324920E-01   0.6693239324917E-01   0.3597821980193E+02  -0.4821364685178E+01  -0.1000000000000E+04   0.9217326798570E+00   0.3813950197930E+00   0.6680525449799E-01  -0.2199462962145E-01
