         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.5089393285943E+03   0.3443388842937E+00   0.1066800883049E+03  -0.9159555604454E-01   0.2171078717088E+00   0.3828197550645E-01   0.0000000000000E+00   0.0000000000000E+00  -0.2000000000000E+04   0.7512442556469E+00   0.6303687778374E+00   0.1498537860416E+00  -0.1257422565981E+00
   0.1000000000000E-01   0.5089393203928E+03   0.3443388437803E+00   0.1066801186975E+03  -0.9159555775037E-01   0.2171078698305E+00   0.3828197944135E-01   0.4773505003535E+01  -0.1044298590428E+01  -0.2001778504719E+04   0.7513938114573E+00   0.6301894572976E+00   0.1506061126594E+00  -0.1248454518360E+00
   0.2000000000000E-01   0.5089392957712E+03   0.3443386606366E+00   0.1066802093930E+03  -0.9159556241135E-01   0.2171078605306E+00   0.3828199124377E-01   0.9549489326830E+01  -0.2077199117840E+01  -0.2003557009278E+04   0.7515422967182E+00   0.6300092388691E+00   0.1513582246550E+00  -0.1239484691812E+00
   0.3000000000000E-01   0.5089392547084E+03   0.3443382437796E+00   0.1066803596554E+03  -0.9159556932161E-01   0.2171078384256E+00   0.3828201089147E-01   0.1432792564509E+02  -0.3098696287768E+01  -0.2005335513519E+04   0.7516897112388E+00   0.6298281227985E+00   0.1521101208956E+00  -0.1230513099121E+00
   0.4000000000000E-01   0.5089391971890E+03   0.3443375040796E+00   0.1066805687327E+03  -0.9159557774992E-01   0.2171077982823E+00   0.3828203833764E-01   0.1910878662281E+02  -0.4108784864909E+01  -0.2007114017287E+04   0.7518360548315E+00   0.6296461093334E+00   0.1528618002285E+00  -0.1221539753246E+00
   0.5000000000000E-01   0.5089391232033E+03   0.3443363545148E+00   0.1066808358574E+03  -0.9159558694209E-01   0.2171077350176E+00   0.3828207351151E-01   0.2389204491387E+02  -0.5107459673254E+01  -0.2008892520424E+04   0.7519813273124E+00   0.6294631987227E+00   0.1536132614815E+00  -0.1212564667319E+00
   0.6000000000000E-01   0.5089390327471E+03   0.3443347103187E+00   0.1066811602481E+03  -0.9159559612331E-01   0.2171076436970E+00   0.3828211631890E-01   0.2867767316165E+02  -0.6094715596216E+01  -0.2010671022778E+04   0.7521255285003E+00   0.6292793912168E+00   0.1543645034639E+00  -0.1203587854642E+00
   0.7000000000000E-01   0.5089389258218E+03   0.3443324891206E+00   0.1066815411096E+03  -0.9159560450055E-01   0.2171075195339E+00   0.3828216664296E-01   0.3346564399914E+02  -0.7070547576766E+01  -0.2012449524195E+04   0.7522686582173E+00   0.6290946870674E+00   0.1551155249667E+00  -0.1194609328681E+00
   0.8000000000000E-01   0.5089388024337E+03   0.3443296110786E+00   0.1066819776341E+03  -0.9159561126486E-01   0.2171073578880E+00   0.3828222434486E-01   0.3825593004907E+02  -0.8034950617558E+01  -0.2014228024524E+04   0.7524107162887E+00   0.6289090865287E+00   0.1558663247635E+00  -0.1185629103064E+00
   0.9000000000000E-01   0.5089386625944E+03   0.3443259990055E+00   0.1066824690022E+03  -0.9159561559380E-01   0.2171071542645E+00   0.3828228926444E-01   0.4304850392400E+02  -0.8987919781067E+01  -0.2016006523616E+04   0.7525517025424E+00   0.6287225898565E+00   0.1566169016111E+00  -0.1176647191576E+00
   0.1000000000000E+00   0.5089385063207E+03   0.3443215784877E+00   0.1066830143832E+03  -0.9159561665366E-01   0.2171069043124E+00   0.3828236122103E-01   0.4784333822646E+02  -0.9929450189722E+01  -0.2017785021320E+04   0.7526916168094E+00   0.6285351973092E+00   0.1573672542501E+00  -0.1167663608157E+00
   0.1100000000000E+00   0.5089383336337E+03   0.3443162779964E+00   0.1066836129363E+03  -0.9159561360180E-01   0.2171066038238E+00   0.3828244001419E-01   0.5264040554906E+02  -0.1085953702603E+02  -0.2019563517490E+04   0.7528304589233E+00   0.6283469091479E+00   0.1581173814054E+00  -0.1158678366898E+00
   0.1200000000000E+00   0.5089381445598E+03   0.3443100289911E+00   0.1066842638113E+03  -0.9159560558893E-01   0.2171062487320E+00   0.3828252542449E-01   0.5743967847459E+02  -0.1177817553274E+02  -0.2021342011979E+04   0.7529682287206E+00   0.6281577256362E+00   0.1588672817869E+00  -0.1149691482034E+00
   0.1300000000000E+00   0.5089379391294E+03   0.3443027660161E+00   0.1066849661492E+03  -0.9159559176131E-01   0.2171058351104E+00   0.3828261721436E-01   0.6224112957619E+02  -0.1268536101291E+02  -0.2023120504642E+04   0.7531049260404E+00   0.6279676470406E+00   0.1596169540902E+00  -0.1140702967947E+00
   0.1400000000000E+00   0.5089377173778E+03   0.3442944267894E+00   0.1066857190832E+03  -0.9159557126297E-01   0.2171053591707E+00   0.3828271512890E-01   0.6704473141742E+02  -0.1358108883013E+02  -0.2024898995334E+04   0.7532405507246E+00   0.6277766736310E+00   0.1603663969970E+00  -0.1131712839157E+00
   0.1500000000000E+00   0.5089374793443E+03   0.3442849522835E+00   0.1066865217390E+03  -0.9159554323788E-01   0.2171048172620E+00   0.3828281889675E-01   0.7185045655243E+02  -0.1446535440859E+02  -0.2026677483913E+04   0.7533751026175E+00   0.6275848056800E+00   0.1611156091757E+00  -0.1122721110317E+00
   0.1600000000000E+00   0.5089372250724E+03   0.3442742867995E+00   0.1066873732361E+03  -0.9159550683204E-01   0.2171042058687E+00   0.3828292823091E-01   0.7665827752605E+02  -0.1533815323323E+02  -0.2028455970236E+04   0.7535085815662E+00   0.6273920434641E+00   0.1618645892821E+00  -0.1113727796216E+00
   0.1700000000000E+00   0.5089369546097E+03   0.3442623780331E+00   0.1066882726879E+03  -0.9159546119560E-01   0.2171035216091E+00   0.3828304282972E-01   0.8146816687393E+02  -0.1619948084990E+02  -0.2030234454164E+04   0.7536409874200E+00   0.6271983872628E+00   0.1626133359600E+00  -0.1104732911769E+00
   0.1800000000000E+00   0.5089366680078E+03   0.3442491771333E+00   0.1066892192029E+03  -0.9159540548487E-01   0.2171027612340E+00   0.3828316237763E-01   0.8628009712268E+02  -0.1704933286546E+02  -0.2032012935555E+04   0.7537723200311E+00   0.6270038373595E+00   0.1633618478416E+00  -0.1095736472017E+00
   0.1900000000000E+00   0.5089363653218E+03   0.3442346387535E+00   0.1066902118851E+03  -0.9159533886430E-01   0.2171019216247E+00   0.3828328654621E-01   0.9109404079000E+02  -0.1788770494791E+02  -0.2033791414271E+04   0.7539025792540E+00   0.6268083940412E+00   0.1641101235481E+00  -0.1086738492121E+00
   0.2000000000000E+00   0.5089360466106E+03   0.3442187210951E+00   0.1066912498346E+03  -0.9159526050840E-01   0.2171009997915E+00   0.3828341499501E-01   0.9590997038478E+02  -0.1871459282658E+02  -0.2035569890175E+04   0.7540317649458E+00   0.6266120575987E+00   0.1648581616905E+00  -0.1077738987360E+00
   0.2100000000000E+00   0.5089357119366E+03   0.3442013859442E+00   0.1066923321483E+03  -0.9159516960368E-01   0.2170999928721E+00   0.3828354737249E-01   0.1007278584073E+03  -0.1952999229218E+02  -0.2037348363129E+04   0.7541598769658E+00   0.6264148283265E+00   0.1656059608695E+00  -0.1068737973127E+00
   0.2200000000000E+00   0.5089353613656E+03   0.3441825987005E+00   0.1066934579207E+03  -0.9159506535037E-01   0.2170988981295E+00   0.3828368331694E-01   0.1055476773493E+03  -0.2033389919700E+02  -0.2039126832998E+04   0.7542869151762E+00   0.6262167065233E+00   0.1663535196770E+00  -0.1059735464924E+00
   0.2300000000000E+00   0.5089349949667E+03   0.3441623283989E+00   0.1066946262442E+03  -0.9159494696426E-01   0.2170977129506E+00   0.3828382245742E-01   0.1103693996940E+03  -0.2112630945501E+02  -0.2040905299647E+04   0.7544128794414E+00   0.6260176924915E+00   0.1671008366956E+00  -0.1050731478360E+00
   0.2400000000000E+00   0.5089346128120E+03   0.3441405477248E+00   0.1066958362099E+03  -0.9159481367837E-01   0.2170964348443E+00   0.3828396441468E-01   0.1151929979168E+03  -0.2190721904199E+02  -0.2042683762941E+04   0.7545377696283E+00   0.6258177865378E+00   0.1678479105000E+00  -0.1041726029146E+00
   0.2500000000000E+00   0.5089342149768E+03   0.3441172330208E+00   0.1066970869082E+03  -0.9159466474459E-01   0.2170950614395E+00   0.3828410880212E-01   0.1200184444844E+03  -0.2267662399567E+02  -0.2044462222748E+04   0.7546615856064E+00   0.6256169889728E+00   0.1685947396569E+00  -0.1032719133093E+00
   0.2600000000000E+00   0.5089338015391E+03   0.3440923642884E+00   0.1066983774290E+03  -0.9159449943526E-01   0.2170935904834E+00   0.3828425522665E-01   0.1248457118560E+03  -0.2343452041587E+02  -0.2046240678935E+04   0.7547843272477E+00   0.6254153001113E+00   0.1693413227256E+00  -0.1023710806107E+00
   0.2700000000000E+00   0.5089333725798E+03   0.3440659251813E+00   0.1066997068630E+03  -0.9159431704466E-01   0.2170920198397E+00   0.3828440328971E-01   0.1296747724829E+03  -0.2418090446460E+02  -0.2048019131371E+04   0.7549059944267E+00   0.6252127202721E+00   0.1700876582589E+00  -0.1014701064185E+00
   0.2800000000000E+00   0.5089329281825E+03   0.3440379029927E+00   0.1067010743012E+03  -0.9159411689044E-01   0.2170903474866E+00   0.3828455258809E-01   0.1345055988085E+03  -0.2491577236620E+02  -0.2049797579926E+04   0.7550265870204E+00   0.6250092497783E+00   0.1708337448030E+00  -0.1005689923412E+00
