         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.3264232510777E+03   0.0000000000000E+00   0.4845473305929E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+04  -0.2581167811952E+00   0.9633049417067E+00  -0.1905322474547E-01  -0.7110760279813E-01
   0.1000000000000E-01   0.3264234074567E+03  -0.1589292995067E+00   0.4786020076805E+02   0.2873953982551E-04  -0.3553819150756E-03  -0.1069223651309E-04   0.3167674577048E+01   0.2414754863599E+00  -0.1000891437422E+04  -0.2581168459294E+00   0.9633048653681E+00  -0.1905297762230E-01  -0.7110846819739E-01
   0.2000000000000E-01   0.3264231703653E+03  -0.3174315784337E+00   0.4726891110490E+02   0.1139740763262E-03  -0.6735440909836E-03  -0.4268378118323E-04   0.6336216183057E+01   0.4813672091972E+00  -0.1001777019930E+04  -0.2581172254035E+00   0.9633045976363E+00  -0.1905221339149E-01  -0.7111092242138E-01
   0.3000000000000E-01   0.3264225234738E+03  -0.4754143695946E+00   0.4668094553234E+02   0.2542312505965E-03  -0.9551017086527E-03  -0.9583720518990E-04   0.9505613667153E+01   0.7196939237935E+00  -0.1002656785373E+04  -0.2581181922086E+00   0.9633040816847E+00  -0.1905089725337E-01  -0.7111475496952E-01
   0.4000000000000E-01   0.3264214516568E+03  -0.6327876617109E+00   0.4609638363946E+02   0.4480443141459E-03  -0.1200666582752E-02  -0.1700025859746E-03   0.1267585599489E+02   0.9564742032184E+00  -0.1003530771259E+04  -0.2581200118636E+00   0.9633032623451E+00  -0.1904899378815E-01  -0.7111975862167E-01
   0.5000000000000E-01   0.3264199409662E+03  -0.7894638810920E+00   0.4551530314828E+02   0.6939528081393E-03  -0.1410847180618E-02  -0.2650180067521E-03   0.1584693224711E+02   0.1191726437462E+01  -0.1004399014756E+04  -0.2581229428398E+00   0.9633020861006E+00  -0.1904646702217E-01  -0.7112572943748E-01
   0.6000000000000E-01   0.3264179786031E+03  -0.9453578718483E+00   0.4493777991953E+02   0.9905032118200E-03  -0.1586248638224E-02  -0.3807100439055E-03   0.1901883161885E+02   0.1425468832683E+01  -0.1005261552686E+04  -0.2581272365881E+00   0.9633005010758E+00  -0.1904328049208E-01  -0.7113246675496E-01
   0.7000000000000E-01   0.3264155528908E+03  -0.1100386874743E+01   0.4436388795801E+02   0.1336249560825E-02  -0.1727472773128E-02  -0.5168942423398E-03   0.2219154341835E+02   0.1657719410570E+01  -0.1006118421526E+04  -0.2581331375699E+00   0.9632984570263E+00  -0.1903939730671E-01  -0.7113977318835E-01
   0.8000000000000E-01   0.3264126532462E+03  -0.1254470504781E+01   0.4379369941754E+02   0.1729754036119E-02  -0.1835118094324E-02  -0.6733755788866E-03   0.2536505706610E+02   0.1888496007804E+01  -0.1006969657405E+04  -0.2581408832897E+00   0.9632959053257E+00  -0.1903478020687E-01  -0.7114745462537E-01
   0.9000000000000E-01   0.3264092701521E+03  -0.1407530727643E+01   0.4322728460559E+02   0.2169587524265E-02  -0.1909779808979E-02  -0.8499489138630E-03   0.2853936209394E+02   0.2117816275635E+01  -0.1007815296104E+04  -0.2581507043316E+00   0.9632927989513E+00  -0.1902939162305E-01  -0.7115532022364E-01
   0.1000000000000E+00   0.3264053951287E+03  -0.1559491835040E+01   0.4266471198764E+02   0.2654330149789E-02  -0.1952049826014E-02  -0.1046399430903E-02   0.3171444814425E+02   0.2345697679543E+01  -0.1008655373050E+04  -0.2581628243977E+00   0.9632890924686E+00  -0.1902319373114E-01  -0.7116318240653E-01
   0.1100000000000E+00   0.3264010207059E+03  -0.1710280419103E+01   0.4210604819148E+02   0.3182571780358E-02  -0.1962516756539E-02  -0.1262503065187E-02   0.3489030496916E+02   0.2572157499009E+01  -0.1009489923319E+04  -0.2581774603488E+00   0.9632847420145E+00  -0.1901614850616E-01  -0.7117085685829E-01
   0.1200000000000E+00   0.3263961403943E+03  -0.1859825345879E+01   0.4155135801125E+02   0.3752912505530E-02  -0.1941765911132E-02  -0.1498026920222E-02   0.3806692242982E+02   0.2797212827364E+01  -0.1010318981631E+04  -0.2581948222479E+00   0.9632797052788E+00  -0.1900821777407E-01  -0.7117816251851E-01
