         t[s]                   u[ft/s]               v[ft/s]                 w[ft/s]                p[rad/s]             q[rad/s]            r[rad/s]                x[ft]                  y[ft]                  z[ft]                    e0                   ex                      ey                   ez
   0.0000000000000E+00   0.5303300000000E+02   0.0000000000000E+00  -0.5303300000000E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00  -0.1000000000000E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.1000000000000E-01   0.5277735625418E+02   0.0000000000000E+00  -0.5245639089484E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.5290490925226E+00   0.0000000000000E+00  -0.1527442978285E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.2000000000000E-01   0.5252491105285E+02   0.0000000000000E+00  -0.5188450960306E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1055557786694E+01   0.0000000000000E+00  -0.2049143576976E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.3000000000000E-01   0.5227560935484E+02   0.0000000000000E+00  -0.5131727022786E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.1579557791726E+01   0.0000000000000E+00  -0.2565148643111E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.4000000000000E-01   0.5202939733537E+02   0.0000000000000E+00  -0.5075458877644E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2101080272527E+01   0.0000000000000E+00  -0.3075504174330E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.5000000000000E-01   0.5178622235128E+02   0.0000000000000E+00  -0.5019638310690E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.2620155861698E+01   0.0000000000000E+00  -0.3580255337639E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.6000000000000E-01   0.5154603290751E+02   0.0000000000000E+00  -0.4964257287687E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.3136814671172E+01   0.0000000000000E+00  -0.4079446487667E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.7000000000000E-01   0.5130877862467E+02   0.0000000000000E+00  -0.4909307949391E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.3651086303541E+01   0.0000000000000E+00  -0.4573121184409E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.8000000000000E-01   0.5107441020763E+02   0.0000000000000E+00  -0.4854782606752E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.4162999863047E+01   0.0000000000000E+00  -0.5061322210484E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
   0.9000000000000E-01   0.5084287941515E+02   0.0000000000000E+00  -0.4800673736279E+02   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00   0.4672583966276E+01   0.0000000000000E+00  -0.5544091587921E+01   0.1000000000000E+01   0.0000000000000E+00   0.0000000000000E+00   0.0000000000000E+00
